Tri;Legal perimeter;Perimètre spatial;Spatial perimeter;Filière;Sector;Power plant;Unit;Combustible;Fuel;Sous-filière;Sub-sector;Program contract;Date of industrial commissioning;Installed capacity ;Minimum design power;Maximum secondary reserve ;Unit;GPS position (wsg84);Region;INSEE region code;Department;INSEE department code;EPCI;INSEE EPCI code;Town;INSEE town code
45;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;DAMPIERRE-EN-BURLY;DAMPIERRE 2;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP1;1981-02-16;890;180;40;MW;47.732638, 2.517824;CENTRE-VAL DE LOIRE;24;LOIRET;45;CC du Val de Sully;200070100;Dampierre-en-Burly;45122
46;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;DAMPIERRE-EN-BURLY;DAMPIERRE 3;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP1;1981-05-27;890;180;40;MW;47.732638, 2.517824;CENTRE-VAL DE LOIRE;24;LOIRET;45;CC du Val de Sully;200070100;Dampierre-en-Burly;45122
47;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;DAMPIERRE-EN-BURLY;DAMPIERRE 4;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP1;1981-11-20;890;180;40;MW;47.732638, 2.517824;CENTRE-VAL DE LOIRE;24;LOIRET;45;CC du Val de Sully;200070100;Dampierre-en-Burly;45122
50;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;FLAMANVILLE;FLAMANVILLE 1;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 1300;Pressurised water reactor 1300;H4;1986-12-01;1330;260;60;MW;49.535986, -1.883342;NORMANDIE;28;MANCHE;50;CA du Cotentin;200067205;Flamanville;50184
51;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;FLAMANVILLE;FLAMANVILLE 2;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 1300;Pressurised water reactor 1300;H4;1987-03-09;1330;260;60;MW;49.535986, -1.883342;NORMANDIE;28;MANCHE;50;CA du Cotentin;200067205;Flamanville;50184
53;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;GOLFECH;GOLFECH 1;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 1300;Pressurised water reactor 1300;P'4;1991-02-01;1310;260;60;MW;44.105751, 0.84572;OCCITANIE;76;TARN-ET-GARONNE;82;CC des Deux Rives;248200016;Golfech;82072
54;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;GOLFECH;GOLFECH 2;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 1300;Pressurised water reactor 1300;P'4;1994-03-04;1310;260;60;MW;44.105751, 0.84572;OCCITANIE;76;TARN-ET-GARONNE;82;CC des Deux Rives;248200016;Golfech;82072
57;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;GRAVELINES;GRAVELINES 1;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP1;1980-11-25;910;180;40;MW;51.012846, 2.139287;HAUTS-DE-FRANCE;32;NORD;59;CU de Dunkerque;245900428;Gravelines;59273
58;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;GRAVELINES;GRAVELINES 2;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP1;1980-12-01;910;180;40;MW;51.012846, 2.139287;HAUTS-DE-FRANCE;32;NORD;59;CU de Dunkerque;245900428;Gravelines;59273
59;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;GRAVELINES;GRAVELINES 3;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP1;1981-06-01;910;180;40;MW;51.012846, 2.139287;HAUTS-DE-FRANCE;32;NORD;59;CU de Dunkerque;245900428;Gravelines;59273
60;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;GRAVELINES;GRAVELINES 4;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP1;1981-10-01;910;180;40;MW;51.012846, 2.139287;HAUTS-DE-FRANCE;32;NORD;59;CU de Dunkerque;245900428;Gravelines;59273
61;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;GRAVELINES;GRAVELINES 5;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP1;1985-01-15;910;180;40;MW;51.012846, 2.139287;HAUTS-DE-FRANCE;32;NORD;59;CU de Dunkerque;245900428;Gravelines;59273
62;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;GRAVELINES;GRAVELINES 6;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP1;1985-10-25;910;180;40;MW;51.012846, 2.139287;HAUTS-DE-FRANCE;32;NORD;59;CU de Dunkerque;245900428;Gravelines;59273
73;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;NOGENT-SUR-SEINE;NOGENT 1;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 1300;Pressurised water reactor 1300;P'4;1988-02-24;1310;260;60;MW;48.514581, 3.524182;GRAND EST;44;AUBE;10;CC du Nogentais;200006716;Nogent-sur-Seine;10268
74;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;NOGENT-SUR-SEINE;NOGENT 2;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 1300;Pressurised water reactor 1300;P'4;1989-05-01;1310;260;60;MW;48.514581, 3.524182;GRAND EST;44;AUBE;10;CC du Nogentais;200006716;Nogent-sur-Seine;10268
